,city,country,id,date,latitude,longitude,temp,cloudiness,wind speed,humidity
0,Beloha,MG,1067565,09/26/19 18:07,-25.17,45.06,67.46540000000006,82,8.97,78
1,Shikhazany,RU,494514,09/26/19 18:07,55.56,47.39,39.2,0,5.0,93
2,Butaritari,KI,2110227,09/26/19 18:07,3.07,172.79,83.70140000000002,43,5.25,74
3,Thompson,CA,6165406,09/26/19 18:07,55.74,-97.86,42.8,75,4.6,48
4,Mecca,SA,104515,09/26/19 18:07,21.43,39.83,82.22540000000004,89,2.12,47
5,Mar del Plata,AR,3863379,09/26/19 18:07,-46.43,-67.52,63.415400000000055,80,8.76,29
6,North Platte,US,5697939,09/26/19 18:07,41.12,-100.77,76.33399999999999,1,8.7,38
7,Mataura,NZ,6201424,09/26/19 18:07,-46.19,168.86,50.0,94,4.47,92
8,Port Elizabeth,US,4501427,09/26/19 18:07,39.31,-74.98,75.47000000000006,75,4.1,54
9,Punta Arenas,CL,3874787,09/26/19 18:07,-53.16,-70.91,51.40400000000005,0,8.7,62
10,Chuy,UY,3443061,09/26/19 18:07,-33.69,-53.46,57.90740000000005,54,3.97,69
11,Wuwei,CN,1803936,09/26/19 18:07,37.93,102.64,53.42540000000004,0,1.71,30
12,Avarua,CK,4035715,09/26/19 18:07,-21.21,-159.78,78.8,37,2.1,78
13,Busselton,AU,2075265,09/26/19 18:07,-33.64,115.35,50.66600000000001,0,6.21,68
14,Terrace,CA,6162949,09/26/19 18:04,54.52,-128.61,48.2,75,5.7,93
15,Sistranda,NO,3139597,09/26/19 18:07,63.73,8.83,52.32200000000004,0,3.6,57
16,Upata,VE,3625710,09/26/19 18:07,8.02,-62.41,89.99600000000005,25,3.58,63
18,Rikitea,PF,4030556,09/26/19 18:07,-23.12,-134.97,71.4614,100,3.57,68
19,Jamestown,AU,2069194,09/26/19 18:07,-33.21,138.6,54.43340000000004,21,3.9,29
20,Georgetown,GY,3378644,09/26/19 18:05,6.8,-58.16,79.30400000000006,20,4.1,74
21,Egvekinot,RU,4031742,09/26/19 18:07,66.32,-179.17,26.821400000000086,100,3.64,94
22,Hobart,AU,2163355,09/26/19 18:05,-42.88,147.33,58.082000000000015,75,2.16,58
23,Sechura,PE,3691954,09/26/19 18:07,-5.56,-80.82,62.28140000000006,70,8.74,94
24,Basco,US,4863349,09/26/19 18:07,40.33,-91.2,73.68800000000005,1,2.1,33
26,Barrow,AR,3833859,09/26/19 18:07,-38.31,-60.23,58.48340000000004,0,6.06,55
27,Ptuj,SI,3192241,09/26/19 18:07,46.42,15.87,52.44800000000002,37,0.5,93
28,Kapaa,US,5848280,09/26/19 18:07,22.08,-159.32,83.96600000000001,75,5.1,74
29,Upernavik,GL,3418910,09/26/19 18:07,72.79,-56.15,38.9534,100,2.55,57
30,Bredasdorp,ZA,1015776,09/26/19 18:07,-34.53,20.04,57.90200000000008,0,0.86,66
31,Cape Town,ZA,3369157,09/26/19 18:07,-33.93,18.42,63.266000000000005,0,1.5,72
32,Hilo,US,5855927,09/26/19 18:07,19.71,-155.08,80.11400000000003,40,4.1,62
33,Tuktoyaktuk,CA,6170031,09/26/19 18:07,69.44,-133.03,37.4,75,9.8,86
34,Tchibanga,GA,2396253,09/26/19 18:07,-2.92,11.0,75.54740000000007,100,2.09,89
35,Ushuaia,AR,3833367,09/26/19 18:05,-54.81,-68.31,48.2,40,3.1,61
36,Bani Walid,LY,2218840,09/26/19 18:07,31.76,14.0,65.07140000000008,0,2.22,88
37,Wencheng,CN,6972233,09/26/19 18:07,27.79,120.09,57.889400000000066,0,0.2,97
38,Nizhniy Kuranakh,RU,2019135,09/26/19 18:07,58.84,125.49,38.98940000000007,23,1.05,94
39,Chicama,PE,3698359,09/26/19 18:07,-7.84,-79.15,62.6,75,6.7,82
40,Vostok,RU,2013279,09/26/19 18:07,46.45,135.83,41.797400000000074,0,1.8,73
41,New Norfolk,AU,2155415,09/26/19 18:07,-42.78,147.06,58.082000000000015,75,2.16,58
42,Los Llanos de Aridane,ES,2514651,09/26/19 18:07,28.66,-17.92,73.4,90,3.6,83
43,Valle de Allende,MX,3980627,09/26/19 18:07,26.94,-105.39,80.38940000000007,0,3.68,41
44,Ygatimi,PY,3436616,09/26/19 18:07,-24.08,-55.5,84.94340000000003,0,1.85,28
45,Bethel,US,5880568,09/26/19 18:07,60.79,-161.76,48.2,90,7.2,81
46,Tiksi,RU,2015306,09/26/19 18:07,71.64,128.87,34.831400000000066,100,1.16,93
47,Cayenne,GF,3382160,09/26/19 18:05,4.94,-52.33,84.2,0,4.1,74
48,Lorengau,PG,2092164,09/26/19 18:07,-2.02,147.27,80.62340000000006,17,3.7,82
49,Port Keats,AU,2063039,09/26/19 18:07,-14.25,129.55,75.13340000000004,25,2.4,92
50,Faanui,PF,4034551,09/26/19 18:04,-16.48,-151.75,79.72340000000005,76,8.13,78
51,Ahipara,NZ,2194098,09/26/19 18:07,-35.17,173.16,56.88140000000006,82,9.16,67
52,Hamilton,CA,5969785,09/26/19 18:07,43.26,-79.87,66.2,75,7.2,45
53,Portland,US,4975802,09/26/19 18:06,43.66,-70.25,62.258,90,1.5,93
54,Hermanus,ZA,3366880,09/26/19 18:07,-34.42,19.24,68.342,0,2.24,45
55,Riyadh,SA,108410,09/26/19 18:07,24.63,46.72,84.2,0,1.0,37
56,Qaanaaq,GL,3831208,09/26/19 18:07,77.48,-69.36,30.13340000000004,100,6.48,97
57,Chokurdakh,RU,2126123,09/26/19 18:07,70.62,147.9,23.941400000000044,62,5.01,94
58,Boa Vista,BR,3664980,09/26/19 18:07,2.82,-60.67,87.8,0,2.1,55
59,Esperance,AU,2071860,09/26/19 18:07,-33.86,121.89,51.8,75,2.1,100
60,Tasiilaq,GL,3424607,09/26/19 18:07,65.61,-37.64,39.2,44,6.2,86
61,Narsaq,GL,3421719,09/26/19 18:07,60.91,-46.05,46.4,3,2.6,52
63,Pilar,AR,3427208,09/26/19 18:07,-34.46,-58.91,68.28800000000004,0,8.2,49
64,Pshekhskaya,RU,504371,09/26/19 18:07,44.7,39.8,55.07600000000009,90,3.0,100
65,Ishigaki,JP,1861416,09/26/19 18:07,24.34,124.16,78.8,75,6.2,94
66,Tezu,IN,1254709,09/26/19 18:07,27.93,96.16,67.14140000000005,0,1.21,83
67,Mazatlan,MX,3996322,09/26/19 18:06,23.22,-106.42,88.43000000000004,20,3.6,62
68,Albany,US,5106834,09/26/19 18:05,42.65,-73.75,59.59400000000007,90,1.24,93
69,Gotsu,JP,1863521,09/26/19 18:07,35.01,132.22,74.21540000000006,83,1.96,67
70,Pajapan,MX,3522186,09/26/19 18:07,18.26,-94.69,89.6,75,5.1,66
71,Port Blair,IN,1259385,09/26/19 18:07,11.67,92.75,81.57740000000001,100,3.9,80
72,Ancud,CL,3899695,09/26/19 18:07,-41.87,-73.83,64.4,0,3.1,39
73,East London,ZA,1006984,09/26/19 18:07,-33.02,27.91,65.98940000000007,0,3.07,25
74,Kajaani,FI,654901,09/26/19 18:07,64.22,27.73,46.4,90,2.1,81
76,Laguna,BZ,3581398,09/26/19 18:07,16.17,-88.94,91.4,40,3.1,63
77,Taoudenni,ML,2450173,09/26/19 18:07,22.68,-3.98,98.01140000000001,2,2.51,9
78,Kant,KG,1528193,09/26/19 18:07,42.89,74.85,53.6,0,3.0,87
79,Ribeira Grande,PT,3372707,09/26/19 18:07,38.52,-28.7,72.54140000000004,0,4.57,88
80,Opuwo,NA,3354077,09/26/19 18:07,-18.06,13.84,74.19740000000007,0,4.96,25
81,Umm Lajj,SA,100926,09/26/19 18:07,25.02,37.27,85.12340000000006,0,4.62,59
82,Tupelo,US,4448903,09/26/19 18:07,34.26,-88.7,89.708,20,3.1,55
83,Havelock,US,4470244,09/26/19 18:07,34.88,-76.9,82.79600000000005,1,7.7,62
84,Marawi,PH,1701054,09/26/19 18:07,8.0,124.29,75.00200000000008,2,2.68,90
85,Codrington,AU,2160063,09/26/19 18:07,-28.95,153.24,63.75200000000008,90,2.12,93
86,Kemi,FI,653281,09/26/19 18:07,65.74,24.56,46.4,90,0.5,100
88,Castro,CL,3896218,09/26/19 18:07,-42.48,-73.76,64.4,0,3.1,39
90,Berezovyy,RU,2026786,09/26/19 18:07,51.67,135.7,34.61540000000006,0,2.06,80
91,Waitati,NZ,2179825,09/26/19 18:07,-45.75,170.57,51.998000000000026,71,12.96,68
92,Saskylakh,RU,2017155,09/26/19 18:07,71.97,114.09,30.457400000000053,91,2.74,97
93,Hillsborough,US,5357155,09/26/19 18:07,37.57,-122.38,74.71400000000003,1,8.2,68
94,Mehamn,NO,778707,09/26/19 18:07,71.03,27.85,44.65400000000005,75,3.6,100
95,Grand Gaube,MU,934479,09/26/19 18:07,-20.01,57.66,73.23800000000004,40,3.1,88
96,Corinth,GR,259289,09/26/19 18:07,37.94,22.93,71.15,20,1.32,78
98,Vanimo,PG,2084442,09/26/19 18:07,-2.67,141.3,80.96540000000006,44,2.97,78
99,Federal Way,US,5794245,09/26/19 18:07,47.31,-122.34,63.860000000000085,75,1.21,100
101,Vaini,IN,1273574,09/26/19 18:07,15.34,74.49,74.34140000000005,100,1.39,95
102,Huandacareo,MX,4004690,09/26/19 18:07,19.99,-101.28,80.6,75,1.5,42
103,Lasa,CY,146639,09/26/19 18:07,34.92,32.53,69.85400000000006,0,3.1,83
104,Ganzhou,CN,1810638,09/26/19 18:07,25.86,114.93,63.84740000000007,0,2.0,66
105,Leningradskiy,RU,2123814,09/26/19 18:07,69.38,178.42,27.739400000000067,99,6.47,77
107,Rio Grande,BR,3451138,09/26/19 18:05,-32.03,-52.1,63.82400000000001,0,6.2,48
108,Ashqelon,IL,295620,09/26/19 18:07,31.67,34.57,73.77800000000006,0,1.5,78
109,Khatanga,RU,2022572,09/26/19 18:07,71.98,102.47,32.671400000000084,100,4.24,97
110,Klaksvik,FO,2618795,09/26/19 18:07,62.23,-6.59,53.6,100,11.8,87
111,Balkhash,KZ,1525798,09/26/19 18:07,46.84,74.98,60.49940000000005,100,3.6,46
112,Camabatela,AO,2242885,09/26/19 18:07,-8.19,15.37,69.53540000000001,100,0.51,91
113,Atuona,PF,4020109,09/26/19 18:07,-9.8,-139.03,79.81340000000009,95,7.54,74
114,Severo-Kurilsk,RU,2121385,09/26/19 18:07,50.68,156.12,45.88340000000004,100,13.01,82
115,Flin Flon,CA,5954718,09/26/19 18:07,54.77,-101.88,44.6,75,5.1,70
116,Pacific Grove,US,5380437,09/26/19 18:07,36.62,-121.92,73.31000000000009,1,6.7,50
117,Corumba,BR,3465342,09/26/19 18:07,-19.0,-57.65,85.06400000000004,20,2.1,51
118,Dossor,KZ,610023,09/26/19 18:07,47.52,52.98,49.87940000000009,71,5.1,42
119,Qaqortoq,GL,3420846,09/26/19 18:07,60.72,-46.03,46.4,3,2.6,52
120,Oranjestad,AW,3577154,09/26/19 18:06,12.52,-70.03,89.6,20,3.6,66
121,San Jose,HN,3602137,09/26/19 18:05,14.25,-87.96,87.8,75,7.7,58
122,Bilma,NE,2446796,09/26/19 18:07,18.69,12.92,91.08140000000006,0,2.11,12
123,Kysyl-Syr,RU,2021017,09/26/19 18:07,63.9,122.77,30.907400000000052,19,2.52,92
124,Ondangwa,NA,3354247,09/26/19 18:07,-17.91,15.98,80.6,0,3.6,26
125,Luderitz,NA,3355672,09/26/19 18:07,-26.65,15.16,73.4,100,2.6,38
126,Arraial do Cabo,BR,3471451,09/26/19 18:07,-22.97,-42.02,68.0,90,3.6,94
127,Sobolevo,RU,525426,09/26/19 18:07,54.43,31.9,39.79940000000005,2,1.83,76
128,Cabo San Lucas,MX,3985710,09/26/19 18:02,22.89,-109.91,86.97200000000004,5,5.7,58
129,Ouango,CD,236844,09/26/19 18:07,4.31,22.55,68.50940000000003,78,0.57,99
130,Sao Joao da Barra,BR,3448903,09/26/19 18:07,-21.64,-41.05,68.0,90,0.78,94
131,Port Alfred,ZA,964432,09/26/19 18:07,-33.59,26.89,59.0,0,2.16,77
132,Tezpur,IN,1254710,09/26/19 18:07,26.62,92.79,74.86340000000008,52,1.13,92
133,Ust-Kuyga,RU,2013921,09/26/19 18:07,70.0,135.55,27.721400000000084,100,1.27,96
134,Whitianga,NZ,2179103,09/26/19 18:07,-36.83,175.7,60.008,25,2.68,71
135,Birao,CF,240210,09/26/19 18:07,10.3,22.78,72.30740000000006,100,1.02,93
137,Pavino,RU,1495483,09/26/19 18:07,55.02,82.61,28.4,99,1.0,79
138,Lagoa,PT,2267254,09/26/19 18:07,37.14,-8.45,67.15400000000005,0,3.6,77
139,Brylivka,UA,711435,09/26/19 18:07,46.42,33.15,49.66340000000008,86,2.67,84
140,Half Moon Bay,US,5354943,09/26/19 18:07,37.46,-122.43,77.09000000000002,1,8.2,68
141,Sitka,US,4267710,09/26/19 18:07,37.17,-99.65,70.03399999999999,100,4.47,77
142,Tynda,RU,2014718,09/26/19 18:07,55.15,124.74,39.79940000000005,100,1.68,94
143,Honningsvag,NO,779554,09/26/19 18:07,70.98,25.97,45.28399999999999,75,1.5,93
144,Hasaki,JP,2112802,09/26/19 18:07,35.73,140.83,61.52000000000006,20,0.5,100
145,Rancho San Diego,MX,4004887,09/26/19 18:07,30.59,-112.28,82.50800000000001,55,1.34,69
146,Kenora,CA,5991056,09/26/19 18:07,49.76,-94.48,55.86800000000009,88,7.2,50
147,Irituia,BR,3398014,09/26/19 18:07,-1.77,-47.44,80.96540000000006,67,3.18,76
148,Cockburn Town,TC,3576994,09/26/19 18:03,21.46,-71.14,87.8,40,1.5,70
149,Straumen,NO,3135728,09/26/19 18:07,63.87,11.3,52.43000000000004,0,4.1,57
151,Victoria,BN,1733782,09/26/19 18:07,5.28,115.24,78.63800000000005,75,0.5,88
152,Kahului,US,5847411,09/26/19 18:03,20.89,-156.47,83.984,20,8.7,52
153,Kuppam,IN,1265555,09/26/19 18:07,12.75,78.34,68.34740000000008,100,1.31,92
155,Chegdomyn,RU,2025579,09/26/19 18:07,51.13,133.04,32.02340000000006,0,1.26,95
156,Ostrovnoy,RU,556268,09/26/19 18:07,68.05,39.51,37.6034,83,5.34,90
157,Zaria,NG,2317765,09/26/19 18:07,11.11,7.72,71.24539999999999,100,5.56,92
158,Biryusinsk,RU,1510041,09/26/19 18:07,55.96,97.82,32.725400000000036,15,2.39,93
159,Carnarvon,ZA,1014034,09/26/19 18:07,-30.97,22.13,56.125400000000035,0,1.72,20
160,Stokmarknes,NO,3136690,09/26/19 18:07,68.56,14.91,43.32200000000004,0,1.5,87
161,Yellowknife,CA,6185377,09/26/19 18:07,62.45,-114.38,37.202000000000076,75,6.7,64
162,Mitsamiouli,KM,921786,09/26/19 18:07,-11.38,43.28,77.23940000000007,0,11.38,76
163,Nikolskoye,RU,546105,09/26/19 18:07,59.7,30.79,46.07600000000009,90,2.0,81
164,Coquimbo,CL,3893629,09/26/19 18:07,-29.95,-71.34,55.4,75,5.1,76
165,Cidreira,BR,3466165,09/26/19 18:07,-30.17,-50.22,66.65540000000007,0,2.71,76
166,Richards Bay,ZA,962367,09/26/19 18:07,-28.77,32.06,63.12740000000001,0,6.1,66
167,Bowen,AU,2174444,09/26/19 18:07,-20.01,148.25,68.0,90,3.6,88
168,Kirakira,SB,2178753,09/26/19 18:07,-10.46,161.92,79.95740000000005,91,3.05,80
169,Ambon,FR,3037899,09/26/19 18:07,47.55,-2.56,60.51200000000006,90,4.1,93
170,Atasu,KZ,1526041,09/26/19 18:07,48.68,71.64,53.731400000000065,100,3.72,59
172,Kodiak,US,4407665,09/26/19 18:07,39.95,-94.76,74.94800000000002,1,5.1,46
173,Souillac,FR,3026644,09/26/19 18:07,45.6,-0.6,62.54600000000005,90,4.1,88
174,Normandin,CA,6089179,09/26/19 18:07,48.84,-72.53,55.4,75,3.1,93
